,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),69.2,64.2
1,Population below age 15 years (%),29.0,35.3
2,"Sex ratio of the total population (females per 1,000 males)",924,916
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",960,"1,000"
4,Children under age 5 years whose birth was registered with the civil authority (%),96.7,68.0
5,Deaths in the last 3 years registered with the civil authority (%),81.7,na
6,Population living in households with electricity (%),98.7,85.6
7,Population living in households with an improved drinking-water source (%),95.7,94.2
8,Population living in households that use an improved sanitation facility(%),65.2,25.3
9,Households using clean fuel for cooking (%),31.8,17.9
10,Households using iodized salt (%),99.0,93.7
11,Households with any usual member covered under a health insurance/financing scheme (%),48.2,10.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.8,na
13,Women who are literate (%),64.8,na
14,Women with 10 or more years of schooling (%),21.7,12.4
15,Women age 20-24 years married before age 18 years (%),22.8,45.9
16,Births in the 5 years preceding the survey that are third or higher order (%),4.9,6.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.8,9.5
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),58.5,40.7
19,Any method (%),75.1,23.0
20,Any modern method (%),64.6,22.7
21,Female sterilization (%),44.7,16.1
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),1.4,0.0
24,Pill (%),3.4,2.1
25,Condom (%),13.8,4.5
26,Injectables (%),1.0,0.0
27,Total unmet need(%),5.9,17.9
28,Unmet need for spacing (%),3.4,6.4
29,Health worker ever talked to female non-users about family planning (%),28.5,9.0
30,Current users ever told about side effects of current method (%),63.8,24.0
31,Mothers who had an antenatal check-up in the first trimester (%),84.9,29.5
32,Mothers who had at least 4 antenatal care visits (%),54.4,16.9
33,Mothers whose last birth was protected against neonatal tetanus (%),96.5,84.8
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),41.3,15.2
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),24.9,4.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,89.8
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),87.8,32.4
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,668","2,114"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(8.5),1.1
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),86.9,na
41,Institutional births (%),90.6,73.3
42,Institutional births in public facility (%),82.8,68.1
43,Home births that were conducted by skilled health personnel (%),1.9,0.9
44,Births attended by skilled health personnel (%),91.6,60.3
45,Births delivered by caesarean section (%),7.5,2.7
46,Births in a private health facility that were delivered by caesarean section (%),(43.3),(24.0)
47,Births in a public health facility that were delivered by caesarean section (%),5.0,2.2
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),78.0,45.7
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),88.2,(62.3)
50,Children age 12-23 months who have received BCG (%),91.1,75.8
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),82.5,54.9
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),81.5,58.5
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),84.5,65.4
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),29.2,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),67.9,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),78.9,42.7
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),68.0,42.7
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,100.0
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),8.4,8.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(54.9),(32.7)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(9.5),(18.5)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(58.1),(73.3)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.1,2.3
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,65.9
66,Children under age 3 years breastfed within one hour of birth (%),42.6,46.4
67,Children under age 6 months exclusively breastfed (%),(64.5),(71.7)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),4.3,8.8
